CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members
L99999MH1989PLC053392,GANGA PHARMACEUTICALS LTD,Active,RoC-Mumbai,53392,Company limited by Shares,Non-govt company,Public,11 September 1989,"32 years, 6 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1990PLC056538,AAREY DRUGS AND PHARMACEUTICALS LIMITED,Active,RoC-Mumbai,56538,Company limited by Shares,Non-govt company,Public,15 May 1990,"31 years, 10 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",5645
L99999MH1990PLC057785,SOLID CARBIDE TOOLS LIMITED,Active,RoC-Mumbai,57785,Company limited by Shares,Non-govt company,Public,21 August 1990,"31 years, 7 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1990PLC058499,SEYA INDUSTRIES LIMITED,Active,RoC-Mumbai,58499,Company limited by Shares,Non-govt company,Public,11 October 1990,"31 years, 5 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1990PLC131655,PULSAR INTERNATIONAL LIMITED,Active,RoC-Mumbai,131655,Company limited by Shares,Non-govt company,Public,15 October 1990,"31 years, 5 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC064993,MAYUR FLOORINGS LIMITED,Active,RoC-Mumbai,64993,Company limited by Shares,Non-govt company,Public,22 January 1992,"30 years, 2 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC066213,JET AIRWAYS (INDIA) LIMITED,Active,RoC-Mumbai,66213,Company limited by Shares,Non-govt company,Public,01 April 1992,"29 years, 11 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC066360,SILVERLINE TECHNOLOGIES LIMITED,Active,RoC-Mumbai,66360,Company limited by Shares,Non-govt company,Public,13 April 1992,"29 years, 11 month, 11 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC066412,RISHI LASER LIMITED,Active,RoC-Mumbai,66412,Company limited by Shares,Non-govt company,Public,20 April 1992,"29 years, 11 month, 4 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC067004,AMBA ENTERPRISES LIMITED,Active,RoC-Pune,198612,Company limited by Shares,Non-govt company,Public,01 June 1992,"29 years, 9 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC068111,HARBOR NETWORK SYSTEMS LIMITED,Active,RoC-Mumbai,68111,Company limited by Shares,Non-govt company,Public,10 August 1992,"29 years, 7 month, 14 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC070022,INDO AMINES LIMITED,Active,RoC-Mumbai,70022,Company limited by Shares,Non-govt company,Public,17 December 1992,"29 years, 3 month, 7 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1992PLC269813,HAZOOR MULTI PROJECTS LIMITED,Active,RoC-Mumbai,269813,Company limited by Shares,Non-govt company,Public,01 December 1992,"29 years, 3 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1993PLC070321,GARODIA CHEMICALS LIMITED,Active,RoC-Mumbai,70321,Company limited by Shares,Non-govt company,Public,06 January 1993,"29 years, 2 month, 18 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1993PLC071062,RISA INTERNATIONAL LIMITED,Active,RoC-Mumbai,71062,Company limited by Shares,Non-govt company,Public,09 March 1993,"29 years, 0 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1993PLC072892,BAJAJ HEALTHCARE LIMITED,Active,RoC-Mumbai,72892,Company limited by Shares,Non-govt company,Public,15 July 1993,"28 years, 8 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1993PLC168521,ALKA INDIA LIMITED,Active,RoC-Mumbai,168521,Company limited by Shares,Non-govt company,Public,30 November 1993,"28 years, 3 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC076236,ASTEC LIFESCIENCES LIMITED,Active,RoC-Mumbai,76236,Company limited by Shares,Non-govt company,Public,25 January 1994,"28 years, 1 month, 30 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC076732,ALAN SCOTT INDUSTRIESS LIMITED,Active,RoC-Mumbai,76732,Company limited by Shares,Non-govt company,Public,22 February 1994,"28 years, 1 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC076858,VISAGAR FINANCIAL SERVICES LIMITED,Active,RoC-Mumbai,76858,Company limited by Shares,Non-govt company,Public,01 March 1994,"28 years, 0 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC077927,FILMCITY MEDIA LIMITED,Active,RoC-Mumbai,77927,Company limited by Shares,Non-govt company,Public,22 April 1994,"27 years, 11 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC080502,EROS INTERNATIONAL MEDIA LIMITED,Active,RoC-Mumbai,80502,Company limited by Shares,Non-govt company,Public,19 August 1994,"27 years, 7 month, 5 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC081145,SHRINIWAS POWER & INFRASTRUCTURE LIMITED,Active,RoC-Mumbai,81145,Company limited by Shares,Non-govt company,Public,15 September 1994,"27 years, 6 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC082802,BALAJI TELEFILMS LIMITED,Active,RoC-Mumbai,82802,Company limited by Shares,Non-govt company,Public,10 November 1994,"27 years, 4 month, 14 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",9645
L99999MH1994PLC082810,UNITECH INTERNATIONAL LIMITED,Active,RoC-Mumbai,82810,Company limited by Shares,Non-govt company,Public,11 November 1994,"27 years, 4 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1994PLC083912,ALACRITY SECURITIES LIMITED,Active,RoC-Mumbai,83912,Company limited by Shares,Non-govt company,Public,20 December 1994,"27 years, 3 month, 4 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1995PLC084618,AGARWAL INDUSTRIAL CORPORATION LIMITED,Active,RoC-Mumbai,84618,Company limited by Shares,Non-govt company,Public,13 January 1995,"27 years, 2 month, 11 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1995PLC089008,DCB BANK LIMITED,Active,RoC-Mumbai,89008,Company limited by Shares,Non-govt company,Public,31 May 1995,"26 years, 9 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",53495
L99999MH1995PLC089759,CENTENIAL SURGICAL SUTURE LIMITED,Active,RoC-Mumbai,89759,Company limited by Shares,Non-govt company,Public,20 June 1995,"26 years, 9 month, 4 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1995PLC094498,BSEL INFRASTRUCTURE REALTY LIMITED,Active,RoC-Mumbai,94498,Company limited by Shares,Non-govt company,Public,15 November 1995,"26 years, 4 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1995PLC094641,EDELWEISS FINANCIAL SERVICES LIMITED,Active,RoC-Mumbai,94641,Company limited by Shares,Non-govt company,Public,21 November 1995,"26 years, 4 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1996PLC132983,IIFL SECURITIES LIMITED,Active,RoC-Mumbai,132983,Company limited by Shares,Non-govt company,Public,21 March 1996,"26 years, 0 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",8
L99999MH1997PLC107153,UNITY INFRAPROJECTS LIMITED,Active,RoC-Mumbai,107153,Company limited by Shares,Non-govt company,Public,09 April 1997,"24 years, 11 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH1997PLC111637,AURIONPRO SOLUTIONS LIMITED,Active,RoC-Mumbai,111637,Company limited by Shares,Non-govt company,Public,31 October 1997,"24 years, 4 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",4697
L99999MH1999PLC135914,COMPUAGE INFOCOM LIMITED,Active,RoC-Mumbai,135914,Company limited by Shares,Non-govt company,Public,27 July 1999,"22 years, 7 month, 28 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH2000PLC129113,SBI LIFE INSURANCE COMPANY LIMITED,Active,RoC-Mumbai,129113,Company limited by Shares,Non-govt company,Public,11 October 2000,"21 years, 5 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999MH2001PLC134193,GSB FINANCE LIMITED,Active,RoC-Mumbai,134193,Company limited by Shares,Non-govt company,Public,11 December 2001,"20 years, 3 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
L99999PN1990PLC059487,ALICON CASTALLOY LIMITED,Active,RoC-Pune,59487,Company limited by Shares,Non-govt company,Public,19 December 1990,"31 years, 3 month, 5 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99000MH2007PTC168803,CALIBER PORT PRIVATE LIMITED,Active,RoC-Mumbai,168803,Company limited by Shares,Non-govt company,Private,15 March 2007,"15 years, 0 month, 9 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2007PTC169782,ETHOS PORT PRIVATE LIMITED,Active,RoC-Mumbai,169782,Company limited by Shares,Non-govt company,Private,09 April 2007,"14 years, 11 month, 15 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2007PTC176204,MAGNIFICENT PORT PRIVATE LIMITED,Active,RoC-Mumbai,176204,Company limited by Shares,Non-govt company,Private,27 November 2007,"14 years, 3 month, 27 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2007PTC176835,ASTARC TOURISM PRIVATE LIMITED,Active,RoC-Mumbai,176835,Company limited by Shares,Non-govt company,Private,17 December 2007,"14 years, 3 month, 7 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2010PTC199763,ASHA RUBTECH AND ENGINEERING PROJECTS PRIVATE LIMITED,Active,RoC-Mumbai,199763,Company limited by Shares,Non-govt company,Private,05 February 2010,"12 years, 1 month, 19 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2010PTC202510,ANR REALTY PRIVATE LIMITED,Active,RoC-Mumbai,202510,Company limited by Shares,Non-govt company,Private,28 April 2010,"11 years, 10 month, 26 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2014PTC256353,PAVITRAM INDUSTRIAL LINING AND ENGINEERING PRIVATE LIMITED,Active,RoC-Mumbai,256353,Company limited by Shares,Non-govt company,Private,23 July 2014,"7 years, 8 month, 1 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2016PTC288064,SAJ FACILITIES MANAGEMENT PRIVATE LIMITED,Active,RoC-Mumbai,288064,Company limited by Shares,Non-govt company,Private,01 December 2016,"5 years, 3 month, 23 days","Extra territorial organizations and bodies [Includes the activities of international organisations such as the United Nations and its agencies, regional bodies etc., IMF, World Bank, European Commission, OPEC etc.]
Click here to see other companies involved in same activity.",-
U99000MH2016PTC289123,,,,,,,,,,,
U99000MH2017PTC295024,,,,,,,,,,,
U99000PN2011NPL138591,,,,,,,,,,,
U99100MH1954NPL009434,,,,,,,,,,,
U99100MH1966GAP013486,,,,,,,,,,,
U99214MH1996PTC099214,,,,,,,,,,,
U99900MH1991NPL060141,,,,,,,,,,,
U99900MH1991NPL060142,,,,,,,,,,,
U99999MH1886PLC010245,,,,,,,,,,,
U99999MH1895NPL000121,,,,,,,,,,,
U99999MH1901PLC002731,,,,,,,,,,,
U99999MH1917PTC000478,,,,,,,,,,,
U99999MH1921PTC000878,,,,,,,,,,,
U99999MH1922PTC000975,,,,,,,,,,,
U99999MH1922PTC001028,,,,,,,,,,,
U99999MH1923PTC001084,,,,,,,,,,,
U99999MH1928GAP001372,,,,,,,,,,,
U99999MH1930PLC010268,,,,,,,,,,,
U99999MH1930PTC001595,,,,,,,,,,,
U99999MH1932GAP001863,,,,,,,,,,,
U99999MH1932PTC001917,,,,,,,,,,,
U99999MH1934GAP002199,,,,,,,,,,,
U99999MH1934PLC103845,,,,,,,,,,,
U99999MH1935PTC002306,,,,,,,,,,,
U99999MH1935PTC002407,,,,,,,,,,,
U99999MH1938PLC002843,,,,,,,,,,,
U99999MH1938PTC002771,,,,,,,,,,,
U99999MH1938PTC002798,,,,,,,,,,,
U99999MH1939GAP002922,,,,,,,,,,,
U99999MH1939PLC003031,,,,,,,,,,,
U99999MH1939PLC003303,,,,,,,,,,,
U99999MH1939PLC011344,,,,,,,,,,,
U99999MH1939PTC002967,,,,,,,,,,,
U99999MH1939PTC003045,,,,,,,,,,,
U99999MH1940PLC003224,,,,,,,,,,,
U99999MH1940PTC003068,,,,,,,,,,,
U99999MH1940PTC003156,,,,,,,,,,,
U99999MH1941PTC003412,,,,,,,,,,,
U99999MH1941PTC003491,,,,,,,,,,,
U99999MH1941PTC011145,,,,,,,,,,,
U99999MH1942PTC003726,,,,,,,,,,,
U99999MH1942PTC010071,,,,,,,,,,,
U99999MH1942PTC010316,,,,,,,,,,,
U99999MH1943GAP003913,,,,,,,,,,,
U99999MH1943PTC003943,,,,,,,,,,,
U99999MH1943PTC004099,,,,,,,,,,,
U99999MH1943PTC004117,,,,,,,,,,,
U99999MH1944PTC004213,,,,,,,,,,,
U99999MH1944PTC004269,,,,,,,,,,,
U99999MH1944PTC004325,,,,,,,,,,,
U99999MH1945PTC004377,,,,,,,,,,,
U99999MH1945PTC004624,,,,,,,,,,,
U99999MH1945PTC004659,,,,,,,,,,,
U99999MH1945PTC010334,,,,,,,,,,,
U99999MH1946PLC004945,,,,,,,,,,,
U99999MH1946PLC005277,,,,,,,,,,,
U99999MH1946PLC005378,,,,,,,,,,,
U99999MH1946PTC004824,,,,,,,,,,,
U99999MH1946PTC004871,,,,,,,,,,,
U99999MH1946PTC004891,,,,,,,,,,,
U99999MH1946PTC004910,,,,,,,,,,,
U99999MH1946PTC005000,,,,,,,,,,,
U99999MH1946PTC005270,,,,,,,,,,,
U99999MH1946PTC005377,,,,,,,,,,,
U99999MH1947GAP005801,,,,,,,,,,,
U99999MH1947PLC005579,,,,,,,,,,,
U99999MH1947PLC005708,,,,,,,,,,,
U99999MH1947PLC005735,,,,,,,,,,,
U99999MH1947PTC005519,,,,,,,,,,,
U99999MH1947PTC005594,,,,,,,,,,,
U99999MH1947PTC005724,,,,,,,,,,,
U99999MH1947PTC005885,,,,,,,,,,,
U99999MH1947PTC005891,,,,,,,,,,,
U99999MH1947PTC005973,,,,,,,,,,,
U99999MH1947PTC006015,,,,,,,,,,,
U99999MH1947PTC006018,,,,,,,,,,,
U99999MH1947PTC006082,,,,,,,,,,,
U99999MH1947PTC006090,,,,,,,,,,,
U99999MH1947PTC010400,,,,,,,,,,,
U99999MH1947PTC010415,,,,,,,,,,,
U99999MH1948PLC006199,,,,,,,,,,,
U99999MH1948PLC006459,,,,,,,,,,,
U99999MH1948PLC007336,,,,,,,,,,,
U99999MH1948PLC010420,,,,,,,,,,,
U99999MH1948PTC006155,,,,,,,,,,,
U99999MH1948PTC006201,,,,,,,,,,,
U99999MH1948PTC006219,,,,,,,,,,,
U99999MH1948PTC006285,,,,,,,,,,,
U99999MH1948PTC006294,,,,,,,,,,,
U99999MH1948PTC006444,,,,,,,,,,,
U99999MH1948PTC006448,,,,,,,,,,,
U99999MH1948PTC006554,,,,,,,,,,,
U99999MH1949PTC006972,,,,,,,,,,,
U99999MH1950PLC008158,,,,,,,,,,,
U99999MH1950PLC020987,,,,,,,,,,,
U99999MH1950PTC008052,,,,,,,,,,,
U99999MH1950PTC008111,,,,,,,,,,,
U99999MH1950PTC008256,,,,,,,,,,,
U99999MH1950PTC008350,,,,,,,,,,,
U99999MH1951GAP008430,,,,,,,,,,,
U99999MH1951NPL010573,,,,,,,,,,,
U99999MH1951PLC008397,,,,,,,,,,,
U99999MH1951PTC008362,,,,,,,,,,,
U99999MH1951PTC008417,,,,,,,,,,,
U99999MH1951PTC008449,,,,,,,,,,,
U99999MH1951PTC008566,,,,,,,,,,,
U99999MH1951PTC008624,,,,,,,,,,,
U99999MH1951PTC010134,,,,,,,,,,,
U99999MH1952PLC008941,,,,,,,,,,,
U99999MH1952PLC214186,,,,,,,,,,,
U99999MH1952PTC008750,,,,,,,,,,,
U99999MH1953PLC009088,,,,,,,,,,,
U99999MH1953PLC009100,,,,,,,,,,,
U99999MH1953PTC009019,,,,,,,,,,,
U99999MH1953PTC021694,,,,,,,,,,,
U99999MH1954PTC009207,,,,,,,,,,,
U99999MH1954PTC009361,,,,,,,,,,,
U99999MH1954PTC009376,,,,,,,,,,,
U99999MH1954PTC009386,,,,,,,,,,,
U99999MH1954PTC009403,,,,,,,,,,,
U99999MH1955GAP009697,,,,,,,,,,,
U99999MH1955PLC009504,,,,,,,,,,,
U99999MH1955PTC009572,,,,,,,,,,,
U99999MH1955PTC009631,,,,,,,,,,,
U99999MH1955PTC009643,,,,,,,,,,,
U99999MH1955PTC010657,,,,,,,,,,,
U99999MH1955PTC011516,,,,,,,,,,,
U99999MH1956NPL009708,,,,,,,,,,,
U99999MH1956PTC009758,,,,,,,,,,,
U99999MH1956PTC009761,,,,,,,,,,,
U99999MH1956PTC009817,,,,,,,,,,,
U99999MH1956PTC009857,,,,,,,,,,,
U99999MH1957PLC010886,,,,,,,,,,,
U99999MH1957PTC010866,,,,,,,,,,,
U99999MH1958NPL011082,,,,,,,,,,,
U99999MH1958PTC011014,,,,,,,,,,,
U99999MH1958PTC011058,,,,,,,,,,,
U99999MH1958PTC011151,,,,,,,,,,,
U99999MH1958PTC011169,,,,,,,,,,,
U99999MH1958PTC011221,,,,,,,,,,,
U99999MH1958PTC011223,,,,,,,,,,,
U99999MH1958PTC011235,,,,,,,,,,,
U99999MH1958ULL011199,,,,,,,,,,,
U99999MH1959PLC011377,,,,,,,,,,,
U99999MH1959PLC011460,,,,,,,,,,,
U99999MH1959PLC011472,,,,,,,,,,,
U99999MH1959PTC011277,,,,,,,,,,,
U99999MH1959PTC011279,,,,,,,,,,,
U99999MH1959PTC011319,,,,,,,,,,,
U99999MH1959PTC011496,,,,,,,,,,,
U99999MH1959PTC011501,,,,,,,,,,,
U99999MH1960PLC011780,,,,,,,,,,,
U99999MH1960PLC011811,,,,,,,,,,,
U99999MH1960PLC011846,,,,,,,,,,,
U99999MH1960PTC011619,,,,,,,,,,,
U99999MH1960PTC011626,,,,,,,,,,,
U99999MH1960PTC011723,,,,,,,,,,,
U99999MH1960PTC011781,,,,,,,,,,,
U99999MH1960PTC011799,,,,,,,,,,,
U99999MH1960PTC011872,,,,,,,,,,,
U99999MH1960PTC011891,,,,,,,,,,,
U99999MH1961PLC011990,,,,,,,,,,,
U99999MH1961PLC012048,,,,,,,,,,,
U99999MH1961PTC012062,,,,,,,,,,,
U99999MH1961PTC012065,,,,,,,,,,,
U99999MH1961PTC012083,,,,,,,,,,,
U99999MH1961PTC012210,,,,,,,,,,,
U99999MH1961PTC012216,,,,,,,,,,,
U99999MH1961PTC012229,,,,,,,,,,,
U99999MH1962PLC012316,,,,,,,,,,,
U99999MH1962PLC012424,,,,,,,,,,,
U99999MH1962PLC012511,,,,,,,,,,,
U99999MH1962PTC012259,,,,,,,,,,,
U99999MH1962PTC012275,,,,,,,,,,,
U99999MH1962PTC012301,,,,,,,,,,,
U99999MH1962PTC012375,,,,,,,,,,,
U99999MH1962PTC012409,,,,,,,,,,,
U99999MH1962PTC012429,,,,,,,,,,,
U99999MH1962PTC012430,,,,,,,,,,,
U99999MH1962PTC012446,,,,,,,,,,,
U99999MH1962PTC012479,,,,,,,,,,,
U99999MH1962PTC012482,,,,,,,,,,,
U99999MH1962PTC012545,,,,,,,,,,,
U99999MH1963NPL012748,,,,,,,,,,,
U99999MH1963PTC012616,,,,,,,,,,,
U99999MH1963PTC012630,,,,,,,,,,,
U99999MH1963PTC012674,,,,,,,,,,,
U99999MH1963PTC012678,,,,,,,,,,,
U99999MH1963PTC012701,,,,,,,,,,,
U99999MH1963PTC012723,,,,,,,,,,,
U99999MH1964PLC012865,,,,,,,,,,,
U99999MH1964PLC012886,,,,,,,,,,,
U99999MH1964PLC012913,,,,,,,,,,,
U99999MH1964PLC013009,,,,,,,,,,,
U99999MH1964PTC012833,,,,,,,,,,,
U99999MH1964PTC012859,,,,,,,,,,,
U99999MH1964PTC012915,,,,,,,,,,,
U99999MH1964PTC012975,,,,,,,,,,,
U99999MH1964PTC012980,,,,,,,,,,,
U99999MH1964PTC013070,,,,,,,,,,,
U99999MH1964PTC013086,,,,,,,,,,,
U99999MH1965PLC013113,,,,,,,,,,,
U99999MH1965PTC013105,,,,,,,,,,,
U99999MH1965PTC013108,,,,,,,,,,,
U99999MH1965PTC013125,,,,,,,,,,,
U99999MH1965PTC013160,,,,,,,,,,,
U99999MH1965PTC013190,,,,,,,,,,,
U99999MH1965PTC013322,,,,,,,,,,,
U99999MH1965PTC013330,,,,,,,,,,,
U99999MH1965PTC013355,,,,,,,,,,,
U99999MH1965PTC013375,,,,,,,,,,,
U99999MH1965PTC013381,,,,,,,,,,,
U99999MH1965PTC013382,,,,,,,,,,,
U99999MH1966PTC013402,,,,,,,,,,,
U99999MH1966PTC013447,,,,,,,,,,,
U99999MH1966PTC013457,,,,,,,,,,,
U99999MH1966PTC013487,,,,,,,,,,,
U99999MH1966PTC013528,,,,,,,,,,,
U99999MH1966PTC013559,,,,,,,,,,,
U99999MH1966PTC013563,,,,,,,,,,,
U99999MH1966PTC013593,,,,,,,,,,,
U99999MH1966PTC013616,,,,,,,,,,,
U99999MH1967PTC013696,,,,,,,,,,,
U99999MH1967PTC013723,,,,,,,,,,,
U99999MH1967PTC013772,,,,,,,,,,,
U99999MH1967PTC013831,,,,,,,,,,,
U99999MH1967PTC013851,,,,,,,,,,,
U99999MH1968PLC013926,,,,,,,,,,,
U99999MH1968PLC013934,,,,,,,,,,,
U99999MH1968PLC014121,,,,,,,,,,,
U99999MH1968PTC013942,,,,,,,,,,,
U99999MH1968PTC013974,,,,,,,,,,,
U99999MH1968PTC014025,,,,,,,,,,,
U99999MH1968PTC014069,,,,,,,,,,,
U99999MH1968PTC014103,,,,,,,,,,,
U99999MH1968PTC014134,,,,,,,,,,,
U99999MH1968PTC014146,,,,,,,,,,,
U99999MH1968PTC014152,,,,,,,,,,,
U99999MH1968PTC014153,,,,,,,,,,,
U99999MH1968PTC014154,,,,,,,,,,,
U99999MH1969NPL014319,,,,,,,,,,,
U99999MH1969PLC014275,,,,,,,,,,,
U99999MH1969PTC014178,,,,,,,,,,,
U99999MH1969PTC014196,,,,,,,,,,,
U99999MH1969PTC014202,,,,,,,,,,,
U99999MH1969PTC014243,,,,,,,,,,,
U99999MH1969PTC014250,,,,,,,,,,,
U99999MH1969PTC014300,,,,,,,,,,,
U99999MH1969PTC014343,,,,,,,,,,,
U99999MH1969PTC014398,,,,,,,,,,,
U99999MH1969PTC014402,,,,,,,,,,,
U99999MH1969PTC014475,,,,,,,,,,,
U99999MH1969PTC014487,,,,,,,,,,,
U99999MH1969PTC014494,,,,,,,,,,,
U99999MH1969PTC112650,,,,,,,,,,,
U99999MH1970GAP014629,,,,,,,,,,,
U99999MH1970PLC014545,,,,,,,,,,,
U99999MH1970PTC014533,,,,,,,,,,,
U99999MH1970PTC014578,,,,,,,,,,,
U99999MH1970PTC014614,,,,,,,,,,,
U99999MH1970PTC014631,,,,,,,,,,,
U99999MH1970PTC014681,,,,,,,,,,,
U99999MH1970PTC014740,,,,,,,,,,,
U99999MH1970PTC014785,,,,,,,,,,,
U99999MH1970PTC014818,,,,,,,,,,,
U99999MH1970PTC014837,,,,,,,,,,,
U99999MH1970PTC014840,,,,,,,,,,,
U99999MH1970PTC014872,,,,,,,,,,,
U99999MH1970PTC014901,,,,,,,,,,,
U99999MH1970PTC113628,,,,,,,,,,,
U99999MH1970SGC014574,,,,,,,,,,,
U99999MH1970SGC014895,,,,,,,,,,,
U99999MH1970SGC014897,,,,,,,,,,,
U99999MH1971PLC015362,,,,,,,,,,,
U99999MH1971PTC015075,,,,,,,,,,,
U99999MH1971PTC015116,,,,,,,,,,,
U99999MH1971PTC015120,,,,,,,,,,,
U99999MH1971PTC015123,,,,,,,,,,,
U99999MH1971PTC015254,,,,,,,,,,,
U99999MH1971PTC015255,,,,,,,,,,,
U99999MH1971PTC015491,,,,,,,,,,,
U99999MH1971PTC015499,,,,,,,,,,,
U99999MH1971PTC015509,,,,,,,,,,,
U99999MH1972PLC015680,,,,,,,,,,,
U99999MH1972PLC015685,,,,,,,,,,,
U99999MH1972PLC015842,,,,,,,,,,,
U99999MH1972PLC016082,,,,,,,,,,,
U99999MH1972PLC016089,,,,,,,,,,,
U99999MH1972PTC015548,,,,,,,,,,,
U99999MH1972PTC015551,,,,,,,,,,,
U99999MH1972PTC015618,,,,,,,,,,,
U99999MH1972PTC015768,,,,,,,,,,,
U99999MH1972PTC015851,,,,,,,,,,,
U99999MH1972PTC015879,,,,,,,,,,,
U99999MH1972PTC015977,,,,,,,,,,,
U99999MH1972PTC015984,,,,,,,,,,,
U99999MH1972PTC016002,,,,,,,,,,,
U99999MH1972PTC016176,,,,,,,,,,,
U99999MH1972PTC017537,,,,,,,,,,,
U99999MH1973PLC000014,,,,,,,,,,,
