CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U99999MH1984PTC034844,SWATI LAND DVELOPERS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,19-12-1984,Maharashtra,1000000.0,1000000.0,99999,Extraterritorial organizations and bodies,"F/2, HERMES APARTMENTS, BHATTLANE, BORIVALIBOMBAY  ",ROC MUMBAI,hdpateloffice@gmail.com,31-03-2015,31-03-2015
U99999MH1984PTC034850,BUILDCUBE CONSTRUCTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-12-1984,Maharashtra,3000000.0,2501000.0,99999,Extraterritorial organizations and bodies,"Office No. 101-B, First Floor, Om Shiv Krupa CHSLtd., Opp. Charai Shiv Sena Shakha, Charai,  ",ROC MUMBAI,accounts@sohamrealestate.com,31-03-2019,31-03-2019
U99999MH1984PTC034878,MGM FABRICS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,21-12-1984,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"148-B, DR. VEIGHAS STREET,KALBADEVI ROAD,  ",ROC MUMBAI,designerspace.ego@gmail.com,31-03-2010,31-03-2010
U99999MH1984PTC034921,METAOXIDE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-12-1984,Maharashtra,2500000.0,1000100.0,99999,Extraterritorial organizations and bodies,"25, Nariman Bhavan Premises Co-op Society Ltd227, Backbay Reclamation, Nariman Point  ",ROC MUMBAI,kapilvira@hotmail.com,31-03-2018,31-03-2017
U99999MH1984PTC034923,VIMALNATH ESTATE PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,29-12-1984,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"MEHTA HOUSE, 3RD FLR., 36,PANDITIA RAMBAI ROAD,CHOWPATTI BOMBAY  ",ROC MUMBAI,rajendracmehta@hotmail.com,31-03-2019,31-03-2019
U99999MH1984PTC034927,KUNTHUNATH ESTATES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-12-1984,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"64, KHOLACHIWADI'GIRGAUM MUMBAI 400 0004   ",ROC MUMBAI,rajendracmehta@hotmail.com,31-03-2019,31-03-2019
U99999MH1984PTC034934,REALTY FINANCE & LEASING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-12-1984,Maharashtra,1000000.0,402000.0,99999,Extraterritorial organizations and bodies,"UNIT NO. 23, LEVEL-2, KALPTARU SQUARE, KONDIVITALANE, RAM KRISHNA MANDIR ROAD, ANDHERI (E),  ",ROC MUMBAI,ashoksanghavi@rediffmail.com,31-03-2018,31-03-2018
U99999MH1984PTC107293,AMITARA INDUSTRIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-08-1984,Maharashtra,50000000.0,11897280.0,99999,Extraterritorial organizations and bodies,"2ND FLOOR,PUSHPAWATI BLDGNO.2,CHANDANWADI,GIRGAON ROAD,  ",ROC MUMBAI,amitara.industries@gmail.com,31-03-2019,31-03-2019
U99999MH1984PTC130296,NEELKAMAL DEVELOPMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-07-1984,Maharashtra,1000000.0,850000.0,99999,Extraterritorial organizations and bodies,"608, PAREKH MARKET,39, KENNEDY BRIDGE,OPERA HOUSE, MUMBAI - 4.  ",ROC MUMBAI,neelkamaldevelopmentpl@gmail.com,31-03-2019,31-03-2019
U99999MH1985PLC035128,NEMI TRADING AND ESTATES LTD   ,ACTV,Public,Company limited by Shares,Non-govt company,21-01-1985,Maharashtra,2500000.0,2490700.0,99999,Extraterritorial organizations and bodies,ABIKA SILK MILLS COMPOUND11-12 SENAPATI BAPAT MARGMAHALAXMI  ,ROC MUMBAI,rajendracmehta@hotmail.com,31-03-2019,31-03-2019
U99999MH1985PLC035149,CREDENTIAL FINANCE LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,23-01-1985,Maharashtra,150000000.0,109570000.0,99999,Extraterritorial organizations and bodies,"105-A, Fort Foundation Building, 1st Floor, N.M.Road, Extn; Maharashtra Chambers of Commerce Lane,  ",ROC MUMBAI,umanathvnayak@yahoo.co.uk,31-03-2014,31-03-2014
U99999MH1985PLC035297,ADESHWAR TRADING AND ESTATES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,07-02-1985,Maharashtra,2500000.0,2490070.0,99999,Extraterritorial organizations and bodies,"64, KHOLACHI WADI,GIRGAUM,  ",ROC MUMBAI,rajendracmehta@hotmail.com,31-03-2019,31-03-2019
U99999MH1985PLC036141,ARCADIA INVESTMENTS COMPANY LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,07-05-1985,Maharashtra,500000.0,500000.0,99999,Extraterritorial organizations and bodies,"BHUPEN CHAMBERS GR.FLOOR UNIT-I,DALAL STREET, FORT  ",ROC MUMBAI,nitin@cifco.in,31-03-2019,31-03-2019
U99999MH1985PLC037593,SWAROOP STEELS LTD   ,ACTV,Public,Company limited by Shares,Non-govt company,27-09-1985,Maharashtra,75000000.0,15400000.0,99999,Extraterritorial organizations and bodies,PLOT NO.D-57MIDC AREA AMBAD  ,ROC MUMBAI,divijagarwal@gmail.com,31-03-2019,31-03-2019
U99999MH1985PLC037605,KUMAR HOTELS LTD   ,ACTV,Public,Company limited by Shares,Non-govt company,30-09-1985,Maharashtra,40000000.0,31809000.0,99999,Extraterritorial organizations and bodies,"1 st Floor, B, Poonam Chambers,Byramji Town, Chhindwara Road,  ",ROC MUMBAI,linkhouseltd@gmail.com,31-03-2015,31-03-2015
U99999MH1985PLC038208,ALPIC BBK FINANCE LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,02-12-1985,Maharashtra,50000000.0,30000000.0,99999,Extraterritorial organizations and bodies,"507, Vardhaman Chambers, 5th Flr,17/G, Cawasji Patel Street,  ",ROC MUMBAI,alpicbbkfinance@gmail.com,31-03-2019,31-03-2019
U99999MH1985PLC038289,ASMITA INDIA LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,10-12-1985,Maharashtra,600000000.0,600000000.0,99999,Extraterritorial organizations and bodies,"ASMITA HOUSENAYA NAGAR,MIRA ROAD,EAST,  ",ROC MUMBAI,asmitaac@yahoo.co.in,31-03-2019,31-03-2019
U99999MH1985PLC082517,KAVI COMMERCIAL COMPANY LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,23-03-1985,Maharashtra,35000000.0,30135000.0,99999,Extraterritorial organizations and bodies,"VIRAJ IMPEX HOUSE47, P D' MELLO ROAD,  ",ROC MUMBAI,virajimpex@virajimpex.com,31-03-2019,31-03-2019
U99999MH1985PLC098741,KUSUM INGOTS AND ALLOYS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,03-09-1985,Maharashtra,250000000.0,242490400.0,99999,Extraterritorial organizations and bodies,"Room 20, 3rd Floor, Plot 1/3, Shreenath Building,Old Post office Lane, Joshiwadi, Kalbadevi Road  ",ROC MUMBAI,DO.PRSD@REDIFFMAIL.COM,31-03-2019,31-03-2017
U99999MH1985PLC129888,SAAK INDIA LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,25-01-1985,Maharashtra,30000000.0,26460000.0,99999,Extraterritorial organizations and bodies,"108, RUSHABH COMPLEXNEW LINK ROAD,ANDHERI (WEST),  ",ROC MUMBAI,saakindialtd1985@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035069,RITIKA PROPERTIES AND PREMISES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,15-01-1985,Maharashtra,200000.0,200000.0,99999,Extraterritorial organizations and bodies,BENTEX BUILDING IST FLR 99-CTULSIWADI BOMBAY   ,ROC MUMBAI,gjs8446@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035070,DEEKAY TILES AND MARBLES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-01-1985,Maharashtra,3500000.0,2731600.0,99999,Extraterritorial organizations and bodies,"401/402, DELPHI BUILDING, RAHEJA GARDEN,TEEN HATH NAKA, L B S MARG  ",ROC MUMBAI,deekayinternational@rediffmail.com,31-03-2016,31-03-2016
U99999MH1985PTC035132,FORRAM RESTAURANT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-01-1985,Maharashtra,20000000.0,10000000.0,99999,Extraterritorial organizations and bodies,"CHEMOX HOUSE  7 ,BARRACK ROAD,  ",ROC MUMBAI,kalash_onlythalis@yahoo.com,31-03-2019,31-03-2019
U99999MH1985PTC035228,DARTAL CLOTHING COMPANY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-02-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"404, JOGAR INDUSTRIAL ESTATE4TH FLOORJ.R.BORICHA ROAD MUMBAI 400 011  ",ROC MUMBAI,vinaymishra3@yahoo.co.in,31-03-2018,31-03-2018
U99999MH1985PTC035298,VINAY FABRICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-02-1985,Maharashtra,4600000.0,4000000.0,99999,Extraterritorial organizations and bodies,"23, Floor-1, Plot-3/5, Seth Lalji Dayal BuildingDadi Seth Agiary Lane, Malharraowadi, Kalbadevi  ",ROC MUMBAI,umedheights@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035309,MALP ENGINEERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-02-1985,Maharashtra,500000.0,429700.0,99999,Extraterritorial organizations and bodies,"HAGEL HOUSE,1/A,GR.FLOR.,MAROL,MAROSHI ROADOPP.MILITARY ROAD,BOMAY  ",ROC MUMBAI,hagelcap1982@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035360,PIYUSH PRATAP INVESTMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-02-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"12-A YUSUF BUILDING VEER NARIMAN RD,   ",ROC MUMBAI,sheth_pp@yahoo.co.in,31-03-2014,31-03-2014
U99999MH1985PTC035378,WESTERN DYES AND PETROCHEMICALS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,16-02-1985,Maharashtra,2500000.0,100000.0,99999,Extraterritorial organizations and bodies,"SAKI NAKA, KERANI ROAD, STANLY COMPOUND,GALA NO.05, BEHIND BISMILLAH HOTEL, ANDHERI-E  ",ROC MUMBAI,lawerencedyes@yahoo.com,31-03-2019,31-03-2019
U99999MH1985PTC035430,BHAUSAHEB JAGTAP AND COMPANY(HOTELS) PVT LTD  ,ACTV,Private,Company limited by Shares,Non-govt company,21-02-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,OPP HOTEL SIDDHARTHNASHIK PUNE ROAD   ,ROC MUMBAI,krishnaljagtap@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035486,GRAMOS CHEMICALS INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-02-1985,Maharashtra,10000000.0,4800000.0,99999,Extraterritorial organizations and bodies,W-268 TTC INDUSTRIAL AREAVILLAGE RABALE   ,ROC MUMBAI,cs@chembondindia.com,31-03-2019,31-03-2019
U99999MH1985PTC035499,KOKAN RUBBER PRODUCTS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,27-02-1985,Maharashtra,500000.0,167000.0,99999,Extraterritorial organizations and bodies,"62,PANVEL INDUSTRIAL ESTAE,,NEAR S.T.BUS STATION,,DIST.RAIGAD  ",ROC MUMBAI,pigment39@yahoo.com,31-03-2019,31-03-2019
U99999MH1985PTC035536,EUROPLAST INDIA LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,28-02-1985,Maharashtra,120000000.0,12390700.0,99999,Extraterritorial organizations and bodies,KH NO. 145YENSA  ,ROC MUMBAI,ashwanidewan@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035588,NAVELI INVESTMENTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-03-1985,Maharashtra,500000.0,100000.0,99999,Extraterritorial organizations and bodies,"302,""CAPRI"" GREEN FIELDS ESTATEA-8 NAIR ROAD, JUHU  ",ROC MUMBAI,naveliinvestments345@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035593,ROSE ROOT INVESTMENTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-03-1985,Maharashtra,500000.0,100000.0,99999,Extraterritorial organizations and bodies,"302, CAPRI, GREEN FIELDS ESTATE,A-.B.NAIR ROAD, JUHU  ",ROC MUMBAI,roserootinvestments@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035713,RICHARD ENGINEERING (BOMBAY) PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,22-03-1985,Maharashtra,2500000.0,2126000.0,99999,Extraterritorial organizations and bodies,C O. RICHARD ENGINEERINGWORKS. MIDC AMBERNATH.DIST. THANA  ,ROC MUMBAI,richsnow25@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035725,NERBEHRAM INVESTMENTS AND TRADING COPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,23-03-1985,Maharashtra,200000.0,100000.0,99999,Extraterritorial organizations and bodies,"1, GROUND FLOOR, GAZDAR HOUSE, 45 BHULABHAIDESAI ROAD, CUMBALLA HILL  ",ROC MUMBAI,sok_dadar@vsnl.net,31-03-2019,31-03-2019
U99999MH1985PTC035863,BHOGLE LAND DEVELOPERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-04-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"1, Sharda Bhuvan, Nanda Patkar Road,Vile Parle (East),  ",ROC MUMBAI,mbhogle@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035889,HASI CEMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-04-1985,Maharashtra,2000000.0,1550000.0,99999,Extraterritorial organizations and bodies,"COTTON MARKET ROAD,AMRAVATI  ",ROC MUMBAI,agarwalcoaldepot@ymail.com,31-03-2019,31-03-2019
U99999MH1985PTC035982,GEE ARR LAMOCOAT PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,20-04-1985,Maharashtra,1000000.0,600000.0,99999,Extraterritorial organizations and bodies,"PLOT NO B S  7& 89WAGLE INDUSTRIAL ESTATE,M I D C  ",ROC MUMBAI,grlpl@rediffmail.com,31-03-2019,31-03-2019
U99999MH1985PTC035983,JAYAM HOLDINGS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-04-1985,Maharashtra,500000.0,500000.0,99999,Extraterritorial organizations and bodies,"203-B, THE GREAT EASTERN SUMMIT, PLOT NO.66,SECTOR-15, CBD, BELAPUR,  ",ROC MUMBAI,jayamholdings@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036010,A.N.CORP.LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-04-1985,Maharashtra,50000000.0,41825300.0,99999,Extraterritorial organizations and bodies,"A.N.HOUSE, 1ST FLOOR31 ST ROAD,T.P.S.III BANDRA (WEST)  ",ROC MUMBAI,ancorpltd@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036021,SHITAL SYNTHETICS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,24-04-1985,Maharashtra,1000000.0,820600.0,99999,Extraterritorial organizations and bodies,"10, SADGURU CHHAA, RAMBAUGLANE, NO. 2, KALYAN   ",ROC MUMBAI,arvind4x@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036101,BAJAJ EDIT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-05-1985,Maharashtra,1100000.0,687500.0,99999,Extraterritorial organizations and bodies,"8,HIMALAYA HOUSE,79 PALTONROAD BOMBAY-1   ",ROC MUMBAI,prakashbajaj@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036127,SHERATON SILK INDUSTRIES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,06-05-1985,Maharashtra,10000000.0,2400000.0,99999,Extraterritorial organizations and bodies,207 KANER ITEUPADABHIWANDI   ,ROC MUMBAI,sheraton.silk@hotmail.com,31-03-2014,31-03-2014
U99999MH1985PTC036129,S.D.S.SHIPPING PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,06-05-1985,Maharashtra,2500000.0,2500000.0,99999,Extraterritorial organizations and bodies,"C-72, MITTAL COURT, 224,NARIMAN POINT, BOMBAY-21.   ",ROC MUMBAI,sdsspl@vsnl.com,31-03-2018,31-03-2018
U99999MH1985PTC036173,TRIVENI DYESTUFFS INDUSTRIES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,09-05-1985,Maharashtra,1000000.0,100000.0,99999,Extraterritorial organizations and bodies,"A-5,ANAND SOCIETY,SHASTRINAGAR ,DOMBIVALI (W),,DIST.THANE  ",ROC MUMBAI,menongopik@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036179,HEMAL TEXTILES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,09-05-1985,Maharashtra,150000.0,100000.0,99999,Extraterritorial organizations and bodies,SHOP NO-176ADIDAD AR GALLY M J MARKET   ,ROC MUMBAI,dattanijignesh@yahoo.co.in,31-03-2019,31-03-2019
U99999MH1985PTC036189,GRISHMA CONSTRUCTIONS & TRADING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,10-05-1985,Maharashtra,100000.0,500000.0,99999,Extraterritorial organizations and bodies,"G-1, GR FL. NIRMAL'S NEST CO-OP HSG SOC LTDVAYU DEVTA MANDIR COMPLEX, BORIVALI (W)  ",ROC MUMBAI,nitin@cifco.in,31-03-2019,31-03-2019
U99999MH1985PTC036260,AMOL REAL ESTATE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-05-1985,Maharashtra,1000000.0,100000.0,99999,Extraterritorial organizations and bodies,"1-A, ADHYARU IND. ESTATE, SUNMILL COMPOUNDBOMBAY-400013.  ",ROC MUMBAI,amolrealestate.1985@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036278,INTER GOLD (INDIA) PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-05-1985,Maharashtra,100000000.0,100000000.0,99999,Extraterritorial organizations and bodies,PLOT NO. 34. SEEPZ ANDHERI (E) BOMBAY   ,ROC MUMBAI,sejal.thakkar@intergold.net,31-03-2019,31-03-2019
U99999MH1985PTC036286,PREMJI MOTORS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-05-1985,Maharashtra,300000.0,100000.0,99999,Extraterritorial organizations and bodies,"ARYA CENTRE, OPPOSITE COLOUR CHEM,OLD BOMBAY AGRA ROAD, BALKUM,  ",ROC MUMBAI,markpremji@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036316,RAVI FROZEN FOODS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,22-05-1985,Maharashtra,5000000.0,5000000.0,99999,Extraterritorial organizations and bodies,"Plot No C, 36, Road No 28,Wagle Estate,  ",ROC MUMBAI,ishankapur@paradimefoods.com,31-03-2019,31-03-2019
U99999MH1985PTC036318,ORNATE TALCUM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-05-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"BHUPEN CHAMBERS, GROUND FLOOR, UNIT-I,DALAL STREET, FORT,  ",ROC MUMBAI,keki@cifco.in,31-03-2019,31-03-2019
U99999MH1985PTC036356,MORENA FOODS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-05-1985,Maharashtra,500000.0,269000.0,99999,Extraterritorial organizations and bodies,"CHHABRIA HOUSE, SHANTILAL MODYX RD., NO. 2IRANI WADI BOMBAY-67.  ",ROC MUMBAI,ashabakers@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036377,KEMIX CHEMICALS (AMBERNATH) PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,28-05-1985,Maharashtra,500000.0,100000.0,99999,Extraterritorial organizations and bodies,"210/33, SUNDARAM CHA LTD, PANT NAGAR,OPP. ODION SWIMMING POOL  ",ROC MUMBAI,kemixchemical@yahoo.co.in,31-03-2019,31-03-2019
U99999MH1985PTC036400,PRANIR TRUSTEES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,29-05-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"BHARAT HOUSE, 5TH FLOOR, 104, MUMBAI SAMACHAR MARGFORT  ",ROC MUMBAI,kk.shah@batliboi.com,31-03-2019,31-03-2019
U99999MH1985PTC036552,PREMIER POLYFAB INDUSTRIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,10-06-1985,Maharashtra,1000000.0,790000.0,99999,Extraterritorial organizations and bodies,"B. NO 302, Bhagirathi Apartment,Tembhode Road,  ",ROC MUMBAI,trupticorporation8@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036562,DEKORA ENGINEERING AND MARKETING PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,11-06-1985,Maharashtra,800000.0,500000.0,99999,Extraterritorial organizations and bodies,"Shop No. 4, F-1 Bldg., Himgiri C.h.s. Ltd.,Lok-upvan Phase - II, Thane  ",ROC MUMBAI,Dekora2000@rediffmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036606,GOLD STAR CONSTRUCTION CO.PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,14-06-1985,Maharashtra,500000.0,170080.0,99999,Extraterritorial organizations and bodies,"24,MANSAROVAR,SWAMI NITYANANDMARG,ANDHERI (E)BOMBAY 69.  ",ROC MUMBAI,manjitco@vsnl.in,31-03-2019,31-03-2019
U99999MH1985PTC036646,TAJ FLEXIPLAST PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-06-1985,Maharashtra,2500000.0,1500000.0,99999,Extraterritorial organizations and bodies,106 CENTRAL MARKETOPP CENTRAL HOSPITAL  ,ROC MUMBAI,tulsothakurani@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036672,TRETO CHEM SPECIALITIES (INDIA) PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-06-1985,Maharashtra,1500000.0,1500000.0,99999,Extraterritorial organizations and bodies,"Garage South, Hoor Villa Chs Ltd, 17-EKadeshwari Mandir Marg Opp.Rustam Manzil, Bandra W  ",ROC MUMBAI,ash_ok47@hotmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036677,JANSON ENGINEERING AND TRADING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,28-06-1985,Maharashtra,2500000.0,2250000.0,99999,Extraterritorial organizations and bodies,"98, MITTAL CHAMBERS,NARIMAN POINT,  ",ROC MUMBAI,janson.ramniwas@gmail.com,31-03-2012,31-03-2012
U99999MH1985PTC036739,SHANVIK PUBLICATIONS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,04-07-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"D-32/276 M.I.G., BANDRA (E),BOMBAY-51.   ",ROC MUMBAI,kadamsuresh948@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036765,OBOI LABORATORIES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,08-07-1985,Maharashtra,1000000.0,450000.0,99999,Extraterritorial organizations and bodies,"1, PRABHAT NAGAR, JOGESHWARI(W) BOMBAY.   ",ROC MUMBAI,account@cironpharma.com,31-03-2019,31-03-2019
U99999MH1985PTC036888,PALGHAR PLYWOOD PRODUCTS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,30-09-1985,Maharashtra,6000000.0,4900400.0,99999,Extraterritorial organizations and bodies,PLOT NO 11VILLAGE ALYALIPALGHAR  ,ROC MUMBAI,accounts@plgply.in,31-03-2019,31-03-2019
U99999MH1985PTC036891,RUDILEE RUBBER PRODUCTS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,18-07-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,PLOT NO 67 MIDCCHIKHALOLI  ,ROC MUMBAI,sl.developers1982@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC036915,H.P.S. AIR SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-07-1985,Maharashtra,1000000.0,592600.0,99999,Extraterritorial organizations and bodies,"2/203, SEVA SAMITI NAGARGTB NAGAR, SION (EAST)  ",ROC MUMBAI,accounts@hpsair.com,31-03-2019,31-03-2019
U99999MH1985PTC037062,PRESTIGE LUGGAGE MANUFACTURING COMPANYPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,05-08-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"6, LILI APARTMENT,MAHATMANAGAR NASIK.,  ",ROC MUMBAI,ansarimafa1@rediffmail.com,31-03-2019,31-03-2019
U99999MH1985PTC037108,CISONS TEXKNITS INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-08-1985,Maharashtra,10000000.0,4500000.0,99999,Extraterritorial organizations and bodies,246 A-Z INDUSTRIALESTATE G K MARGLOWER PAREL  ,ROC MUMBAI,navin@karnaniexports.com,31-03-2019,31-03-2019
U99999MH1985PTC037144,KALP CARBON PAPERS MANUFACTURING COMPANY PVT LTD  ,ACTV,Private,Company limited by Shares,Non-govt company,14-08-1985,Maharashtra,500000.0,500000.0,99999,Extraterritorial organizations and bodies,"11 HAVELI JUHU, 21 SUVARNA NAGAR SOCIETY,N.S.ROAD NO.4, J.V.P.D., VILE PARLE (WEST)  ",ROC MUMBAI,vijaykumarmodi@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC037155,KRISHNA NAPTHOL INDUSTRIES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,14-08-1985,Maharashtra,100000.0,100000.0,99999,Extraterritorial organizations and bodies,BLDG  IRIS B BL 1404 OPP DEV DAYA PARKPOKHRAN ROAD NO 1 THANE  ,ROC MUMBAI,abhishek.revankar85@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC037208,FARGON TRANSFORMERS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,20-08-1985,Maharashtra,200000.0,100000.0,99999,Extraterritorial organizations and bodies,"A/202, JEWEL STAR CHS LTD., CTS 1372,NAVKIRAN MARG, OPP. CHURCH, ANDHERI  ",ROC MUMBAI,jainrkb@gmail.com,31-03-2019,31-03-2019
U99999MH1985PTC037341,PATEL NARAYANDAS BHAGWANDAS FERTILIZERSPVT LTD  ,ACTV,Private,Company limited by Shares,Non-govt company,02-09-1985,Maharashtra,2500000.0,2500000.0,99999,Extraterritorial organizations and bodies,153POLAN PETH  ,ROC MUMBAI,ppatel804@gmail.com,31-03-2019,31-03-2019
